,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
140,2015,4,16,LG,1,45,0.207,0.222,28.9,22.2,1.30,0.207,14.50,0.8690000000000001,8.11,8.76,8.12,6.17,0.55,0.40399999999999997,2.34
141,2015,4,16,KIA,1,44,0.37799999999999995,0.483,13.6,20.4,0.67,0.054000000000000006,-,0.887,7.81,8.43,8.06,1.64,0.05,0.40700000000000003,2.4
142,2015,4,16,·Ôµ¥,1,36,0.19399999999999998,0.182,13.9,19.4,0.71,0.193,15.50,0.693,3.72,3.72,3.46,1.07,0.52,0.311,-1.16
143,2015,4,16,Hero,1,30,0.037000000000000005,0.05,3.3,23.3,0.14,0.0,-,0.14,0.2,0.2,-3.33,1.81,0.01,0.083,-7.18
144,2015,4,17,ÇÑÈ­,1,41,0.4,0.419,7.3,12.2,0.60,0.22899999999999998,35.00,1.054,10.09,11.35,9.02,8.08,0.03,0.44799999999999995,3.75
145,2015,4,17,µÎ»ê,1,44,0.385,0.43799999999999994,9.1,13.6,0.67,0.153,39.00,0.993,10.14,11.4,9.54,5.05,0.05,0.444,3.89
146,2015,4,17,LG,1,38,0.265,0.22699999999999998,2.6,21.0,0.12,0.382,8.50,0.971,6.74,6.74,6.95,2.50,0.02,0.40700000000000003,2.07
147,2015,4,17,»ï¼º,1,38,0.258,0.292,15.8,15.8,1.00,0.129,31.00,0.782,5.44,5.87,5.5,6.31,0.7,0.365,0.62
148,2015,4,17,Hero,1,39,0.258,0.33299999999999996,12.8,18.0,0.71,0.129,-,0.782,5.33,5.76,5.7,4.78,0.2,0.366,0.69
149,2015,4,17,SK,1,35,0.258,0.348,5.7,22.9,0.25,0.0,-,0.601,2.32,2.41,2.87,-1.04,0.03,0.29600000000000004,-1.62
